dataset,classifier,train_frac,trial,n_total,train_acc,val_acc,test_acc,best_params
WineQuality,LinSVM,0.2,2,6497,0.8137028483448807,0.8144787644787644,0.8183916891111966,"{""clf__C"": 0.1}"
WineQuality,LinSVM,0.2,3,6497,0.8352578906851424,0.8291089991089992,0.8170450173143516,"{""clf__C"": 0.1}"
WineQuality,LinSVM,0.5,1,6497,0.8155788177339901,0.8146606613725258,0.819636811326562,"{""clf__C"": 0.01}"
WineQuality,LinSVM,0.5,2,6497,0.8211206896551724,0.81988906009245,0.8156355801785165,"{""clf__C"": 0.1}"
WineQuality,LinSVM,0.5,3,6497,0.8189655172413793,0.8180429062462959,0.8214835333948908,"{""clf__C"": 0.01}"
WineQuality,LinSVM,0.8,1,6497,0.8208581874158168,0.8172040423484119,0.82,"{""clf__C"": 0.01}"
WineQuality,LinSVM,0.8,2,6497,0.8222051183375024,0.8198948693270156,0.8176923076923077,"{""clf__C"": 0.01}"
WineQuality,LinSVM,0.8,3,6497,0.8208581874158168,0.820277078551862,0.8223076923076923,"{""clf__C"": 1}"
WineQuality,RandForest,0.2,1,6497,0.9822940723633564,0.8391089991089992,0.8445555983070412,"{""clf__max_depth"": 10, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.2,2,6497,0.9830638953040801,0.8390941490941491,0.8478260869565217,"{""clf__max_depth"": 10, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.2,3,6497,0.9846035411855273,0.8344906444906444,0.8495575221238938,"{""clf__max_depth"": 10, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.5,1,6497,1.0,0.8639222472442812,0.8741151123422591,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.5,2,6497,1.0,0.8669977480146972,0.866112650046168,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.5,3,6497,1.0,0.863918928529098,0.8728839642967067,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.8,1,6497,1.0,0.8843557044495446,0.8915384615384615,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.8,2,6497,1.0,0.8862828533353078,0.8861538461538462,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
WineQuality,RandForest,0.8,3,6497,1.0,0.8858947212556453,0.8853846153846154,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,LogReg,0.2,1,48842,0.8506347256347256,0.8487918489833503,0.8517940318370272,"{""clf__C"": 1}"
AdultIncome,LogReg,0.2,2,48842,0.8498157248157249,0.8487923206614394,0.8523058811485899,"{""clf__C"": 0.1}"
AdultIncome,LogReg,0.2,3,48842,0.852989352989353,0.8502252262875633,0.8522802886830118,"{""clf__C"": 0.1}"
AdultIncome,LogReg,0.5,1,48842,0.852217353916711,0.8509889120533952,0.8537324433888867,"{""clf__C"": 0.1}"
AdultIncome,LogReg,0.5,2,48842,0.8540600303017895,0.8529137651655564,0.851111748085664,"{""clf__C"": 10}"
AdultIncome,LogReg,0.5,3,48842,0.8550837394046108,0.8532410720947057,0.8510707997215511,"{""clf__C"": 1}"
AdultIncome,LogReg,0.8,1,48842,0.853940060911627,0.8528651774355165,0.8511618384686253,"{""clf__C"": 10}"
AdultIncome,LogReg,0.8,2,48842,0.852071763110076,0.8513807181394812,0.8578155389497389,"{""clf__C"": 1}"
AdultIncome,LogReg,0.8,3,48842,0.8528651498477209,0.8518159459513012,0.8555635172484389,"{""clf__C"": 0.1}"
AdultIncome,LinSVM,0.2,1,48842,0.8515561015561015,0.8493047202922727,0.8504888160925423,"{""clf__C"": 0.01}"
AdultIncome,LinSVM,0.2,2,48842,0.8553439803439803,0.8510432209114812,0.850616778420433,"{""clf__C"": 1}"
AdultIncome,LinSVM,0.2,3,48842,0.8552416052416052,0.8523750302004999,0.8502840763679173,"{""clf__C"": 0.01}"
AdultIncome,LinSVM,0.5,1,48842,0.8536914950247737,0.8524629626369646,0.8521764055525982,"{""clf__C"": 0.1}"
AdultIncome,LinSVM,0.5,2,48842,0.8527496826501781,0.8520128223505911,0.8533639081118709,"{""clf__C"": 0.01}"
AdultIncome,LinSVM,0.5,3,48842,0.8568854674255764,0.8543463459737769,0.8497195037058269,"{""clf__C"": 0.1}"
AdultIncome,LinSVM,0.8,1,48842,0.8530954879328436,0.8524300446022618,0.8540280479066434,"{""clf__C"": 0.01}"
AdultIncome,LinSVM,0.8,2,48842,0.8538376884293502,0.8523533182972439,0.8532091309243526,"{""clf__C"": 1}"
AdultIncome,LinSVM,0.8,3,48842,0.8541448058761805,0.8528140625918569,0.8510594738458389,"{""clf__C"": 0.1}"
AdultIncome,RandForest,0.2,1,48842,0.9453316953316954,0.8563684665378462,0.8594973639760455,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.2,2,48842,0.9518837018837019,0.8585172222772514,0.8591134769923734,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.2,3,48842,0.9426699426699426,0.855138696942111,0.8632850488816093,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.5,1,48842,0.9253920805863806,0.8656485153619237,0.8599975430981532,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.5,2,48842,0.8751484378199091,0.8590559779096114,0.86454281151468,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.5,3,48842,0.9260063060480733,0.8617175545322935,0.8637647925965357,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.8,1,48842,0.8765131932536534,0.8634095601821032,0.8632408639574163,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.8,2,48842,0.9118828858802753,0.863588584952022,0.8664141672637936,"{""clf__max_depth"": 20, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__n_estimators"": 300}"
AdultIncome,RandForest,0.8,3,48842,0.8762828551685307,0.8627184764914132,0.8647763332992118,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}"
